rid,rTitle,rText
bmw1121,Chargers at Shell petrol stations,"srichards said:
				
					?
				
			
		
		One thing I didn't know is that Shell have an app for those with limited mobility so they can get assistance at a shell station to help with refuelling their car and getting something from the shop if they want too. So those EV drivers with limited mobility would be catered for.Click to expand...
	
I suspect they won't integrate the EV app with the petrol station though, as be quicker and cheaper to use the standard Allego offering.  

Carefree charging with Allego. Anytime, anywhere.
					 "
bmw1122,Chargers at Shell petrol stations,"Remember Shell 'petrol' stations make most of their profit from the shop, as people compare petrol prices so much, so the petrol is sold for little more than cost.    Provided they have space for charger, they would love nothing more than people being forced to spend 20 minutes in their shop.

We 'just' need about 5% of cars used for long trips to be EVs (and not Teslas) for the free market to really start working for charging.   These EVs can be like the BMW i3, as it is cheaper to charge then put petrol in, hence generates demand for chargers.
					 "
bmw1123,Chargers at Shell petrol stations,"For me I think this could be a good thing, we need more Rapids at accessible locations with facilities, a modern petrol station could be that location, we also need companies backing them that have deep pockets for expensive infrastructure and long term business models, as oil turns to energy, then also it could be a good fit. The easiest way for them to make money from this is with solar roofs and battery backups. The selling price could then be tailored by speed of delivery and time of day.
					 "
bmw1124,Chargers at Shell petrol stations,"I think it's November for the Derby one to be live. I didn't make notes and my pea brain has forgotten already.
					 "
bmw1125,Chargers at Shell petrol stations,"ebyard said:
				
					?
				
			
		
		Oil companies can shove their chargers up their proverbial arses.

They're only doing it because they've been told to....Click to expand...
	
By whom? What have they been told to do?
					 "
bmw1126,Chargers at Shell petrol stations,"ringi said:
				
					?
				
			
		
		Remember Shell 'petrol' stations make most of their profit from the shop, as people compare petrol prices so much, so the petrol is sold for little more than cost. Provided they have space for charger, they would love nothing more than people being forced to spend 20 minutes in their shop.Click to expand...
	
There isn't much retail margin on petrol, but as a multi billion dollar company Shell (and BP etc) make their money on fossil fuels not selling overpriced Doritos! 

Many EV owners are in it to save money, so Shell know they will have their Morrison's packed lunch and a thermos of coffee and wont spend a dime in the petrol station store 
					 "
bmw1127,Chargers at Shell petrol stations,"ringi said:
				
					?
				
			
		
		Remember Shell 'petrol' stations make most of their profit from the shop, as people compare petrol prices so much, so the petrol is sold for little more than cost. Provided they have space for charger, they would love nothing more than people being forced to spend 20 minutes in their shop.Click to expand...
	
Only if those people spend 4 times as much as the people who currently spend 5 minutes in the shop. That seems unlikely.
					 "
bmw1128,Chargers at Shell petrol stations,"Robthebank said:
				
					?
				
			
		
		For me I think this could be a good thing, we need more Rapids at accessible locations with facilities, a modern petrol station could be that location, we also need companies backing them that have deep pockets for expensive infrastructure and long term business models, as oil turns to energy, then also it could be a good fit. The easiest way for them to make money from this is with solar roofs and battery backups. The selling price could then be tailored by speed of delivery and time of day.Click to expand...
	
Shell don't make any significant money at the retail side, mostly they are trying to cover costs and they don't actually run a lot of the sites themselves. Like most big oil, they have been selling off the sites to consortiums that want to develop the retail side.  

Shell's profit is made on of the wholesale price of fuel and other fossil fuel activities. There really isn't any money to be made by Shell selling EV charging and clearly making hydrogen from fossil fuels is far more profitable for them.
					 "
bmw1129,Chargers at Shell petrol stations,"donald said:
				
					?
				
			
		
		By whom? What have they been told to do?Click to expand...
	
By the government writing a bill which allows them to require installation of chargers on filling station forecourts. This is a standard procedure in any industry: the government are in effect saying, get your act together or we will impose something on you even though they as yet haven't the foggiest idea what they might impose:





	
		
		10  Large fuel retailers etc: provision of public charging points
(1) Regulations may impose requirements on
(a) large fuel retailers falling within a prescribed description, or
(b) service area operators falling within a prescribed description,in connection with the provision on their premises of public charging points.
(2) Regulations under subsection (1) may, for example
(a) require large fuel retailers or service area operators to provide public 
charging points;
(b) require public charging points to be available for use at prescribed 
times;

(c) require services or facilities prescribed by the regulations to be 
provided in connection with public charging points.
(3) In this section large fuel retailer” and “service area operator” have the 
meaning given by regulations.Click to expand...
	
That's from the bill from the last parliament, it was carried forward but I don't think they've published anything yet for this session. However, it's a clear instruction to the large fuel retailers to do something before they regulate them to do it.
					 "
bmw1130,Chargers at Shell petrol stations,"Remember that the company that runs the petrol stations is separate from the running of the oil wells and have to buy the petrol at normal wholesale market rates, hence the petrol station operators are not interested in any profits that may be made at the oil well or refiners.

For them to make money from people who are charging, they need lots of unused land to put the chargers on without reducing space for other customers.    The petrol stations most likely to have this land are outside of towns on main roads.  They often all have fast food outlets on the site run by the same company - most BugerKings etc on site with petrol stations are in common ownership.

I don't see the flood of EV company car drivers who are likely to arrive starting 2020 to bring coffee from home......
					 "
bmw1131,Chargers at Shell petrol stations,"ringi said:
				
					?
				
			
		
		Remember that the company that runs the petrol stations is separate from the running of the oil wells and have to buy the petrol at normal wholesale market rates, hence the petrol station operators are not interested in any profits that may be made at the oil well or refiners.Click to expand...
	
The Shell announcement is about installing EV charging at Shell run stations only. At last count they still had 550. They have no way to force franchise owners to install but could change a future franchise contract.
					 "
bmw1132,Chargers at Shell petrol stations,"srichards said:
				
					?
				
			
		
		.... It will be app only initially (boo) but it wont be like that forever (hurray)...Click to expand...
	
I don't like the sound of that. Do Allego have the technology to do contactless right now? If so, why not go ahead with it.
					 "
bmw1133,Chargers at Shell petrol stations,"Duncan said:
				
					?
				
			
		
		By the government writing a bill which allows them to require installation of chargers on filling station forecourts.Click to expand...
	
I can't see any requirement or instruction there, TBH.

This is like those 'discussions'I have with my wife who will say something like ""I am going to ask you to go shopping later"", and later ""why haven't you got more milk""...""because I haven't gone shopping?""...""I asked you earlier to go shopping...""......errrr..... 
					 "
bmw1134,Chargers at Shell petrol stations,"TVEV said:
				
					?
				
			
		
		I don't like the sound of that. Do Allego have the technology to do contactless right now? If so, why not go ahead with it.Click to expand...
	
I don't know. I'm assuming it's technical as there isn't anyone in the UK that has a contactless capable charge post that is deployed anywhere at all. I'm surprised they haven't gone the easy route and just integrated it with the existing fuel and go and use the existing back office and systems that run the normal fuel pumps.
					 "
bmw1135,Chargers at Shell petrol stations,"If there's a charger at a Shell station, and the cable reaches, park your car at a petrol pump and then plug it in.

Then leave the car for an hour whilst you do whatever.
					 "
bmw1136,Chargers at Shell petrol stations,"donald said:
				
					?
				
			
		
		Can you also point out that 50kW is really behind the curve now. There are 100kW capable EVs and chargers, so it would be bonkers to install 50kW. Old tech.Click to expand...
	
Out of interest, which 100 kW EVs are you thinking of? 
					 "
bmw1137,Chargers at Shell petrol stations,"donald said:
				
					?
				
			
		
		I can't see any requirement or instruction there, TBH.

This is like those 'discussions'I have with my wife who will say something like ""I am going to ask you to go shopping later"", and later ""why haven't you got more milk""...""because I haven't gone shopping?""...""I asked you earlier to go shopping...""......errrr..... Click to expand...
	
Only if your wife also employs a load of civil servants to have meetings with your people behind closed doors to discuss the type of milk that might be most profitable for you to buy.
					 "
bmw1138,Chargers at Shell petrol stations,"cah197 said:
				
					?
				
			
		
		Out of interest, which 100 kW EVs are you thinking of? Click to expand...
	
Hyundai Ioniq is about the only one so far.
					 "
bmw1139,Chargers at Shell petrol stations,"IONIQ and Soul EV peak around 70kW if connected to a 100kW charger, expect new Leaf to be above 50kW seeing as Nissan placed an order for 150kW chargers with DBT
					 "
bmw1140,Chargers at Shell petrol stations,"cah197 said:
				
					?
				
			
		
		Out of interest, which 100 kW EVs are you thinking of? Click to expand...
	
The MY18 Soul EV I have on order......
					 "
bmw1141,Chargers at Shell petrol stations,"Duncan said:
				
					?
				
			
		
		Hyundai Ioniq is about the only one so far.Click to expand...
	
Nope. It'll do about 69 kW max... and only for a short period of the charging cycle.
					 "
bmw1142,Chargers at Shell petrol stations,"donald said:
				
					?
				
			
		
		The MY18 Soul EV I have on order......Click to expand...
	
You've tested this claim then? 
					 "
bmw1143,Chargers at Shell petrol stations,"cah197 said:
				
					?
				
			
		
		You've tested this claim then? Click to expand...
	
It is advertised for 100kW.. I have ground for rejection otherwise.

It would be really great to get that sort of speed from low SOC, once I can actually find such chargers. The semi-routine route I am thinking of that I would need it for will probably need an extra 5kWh in the winter, so that [3 minute charge] should theoretically be quicker than I can go take a pee!!.....

Happy to pay £3 + kWh for that, but even a full 50kW would work well.

This is really what we need, 10 minute 'pit stops' that take little longer than a regular fuel-fill. 10 mins at 100kW should be worth ~60 miles. If we can get that sort of through-put on EV charging then there is really no need to resort to a huge battery if you are doing less than a few hundred miles.
					 "
bmw1144,Chargers at Shell petrol stations,"cah197 said:
				
					?
				
			
		
		Nope. It'll do about 69 kW max... and only for a short period of the charging cycle.Click to expand...
	
Oh, ok. I was misled then. The official website isn't much help, it doesn't mention any numbers for rapid charging and claims its charger is rated at 6.6kW. Is that right, it won't even suck a full 32A on a home charger?
					 "
bmw1145,Chargers at Shell petrol stations,"So there are a couple of hurdles to getting 100 kW charging for the Soul:

Finding a charge point rated to 100 kW - currently only Norway and Switzerland have them.
Finding a charge point that will supply more than 200 amps, which is why the ones in Norway seem to be effectively limited to under 70 kW.
Now the Swiss ones look promising at up to 300 amps: EVTEC AG :: espresso&charge
					 "
bmw1146,Chargers at Shell petrol stations,"There's a 22kw charger at Laceby (DN37 7LG)

It has a Greggs, Costa and Subway
					 "
bmw1147,Chargers at Shell petrol stations,"proddick said:
				
					?
				
			
		
		There isn't much retail margin on petrol, but as a multi billion dollar company Shell (and BP etc) make their money on fossil fuels not selling overpriced Doritos!

Many EV owners are in it to save money, so Shell know they will have their Morrison's packed lunch and a thermos of coffee and wont spend a dime in the petrol station store Click to expand...
	
I think shell don't own the shell stations, they are franchises and make very little profit on the petrol. Also many EVer are wealthy environmental types.
					 "
bmw1148,Chargers at Shell petrol stations,"ebyard said:
				
					?
				
			
		
		If there's a charger at a Shell station, and the cable reaches, park your car at a petrol pump and then plug it in.

Then leave the car for an hour whilst you do whatever.Click to expand...
	
Love it!
					 "
bmw1149,Chargers at Shell petrol stations,"leafmonster said:
				
					?
				
			
		
		I think shell don't own the shell stations, they are franchises and make very little profit on the petrol. Also many EVer are wealthy environmental typesClick to expand...
	
At last count Shell owned 550 sites in the UK. At this stage they are only planning to put EV charging on their own sites.
					 "
bmw1150,Chargers at Shell petrol stations,"Duncan said:
				
					?
				
			
		
		Only if those people spend 4 times as much as the people who currently spend 5 minutes in the shop. That seems unlikely.Click to expand...
	
There is a clear incentive here for Shell to restrict charging to 50kw. Installing super-rapids would just cut the time available for spending in the shop.
					 "
bmw1151,Chargers at Shell petrol stations,"Or use faster chargers as some will pay a premium to save time...they could easily have slow 50kw normal chargers and vpower super fast ones. It fits with their current branding.
					 "
bmw1152,Chargers at Shell petrol stations,"They're an oil company, they know nowt about EVs and chargers. That's a good thing.
					 "
bmw1153,Chargers at Shell petrol stations,"That sounds plausible. 
Regular energy or Vpower clean energy 10p per kWh more expensive but proven to improve your 20 - 80% by 7 minutes. Wouldn't be surprised if it was claimed to improve energy consumption, with the extra cost I'd try to drive more economically. 
					 "
bmw1154,Chargers at Shell petrol stations,"Old Mosher said:
				
					?
				
			
		
		That sounds plausible.
Regular energy or Vpower clean energy 10p per kWh more expensive but proven to improve your 20 - 80% by 7 minutes. Wouldn't be surprised if it was claimed to improve energy consumption, with the extra cost I'd try to drive more economically. Click to expand...
	
They could have a guy who comes round to condition your battery while you wait. You know, for the extra power and longer life...
					 "
bmw1155,Chargers at Shell petrol stations,"Old Mosher said:
				
					?
				
			
		
		That sounds plausible.
Regular energy or Vpower clean energy 10p per kWh more expensive but proven to improve your 20 - 80% by 7 minutes. Wouldn't be surprised if it was claimed to improve energy consumption, with the extra cost I'd try to drive more economically. Click to expand...
	
Use it regularly to keep the inside of your battery clean.
					 "
bmw1156,Chargers at Shell petrol stations,"Shell Chief Financial Officer Drives a BMW i3. Are Times Changing?
					 "
bmw1157,Chargers at Shell petrol stations,"some pictures of Rapid and Fast chargers at Shell Fuel Station Pesse, Netherlands

i haven't used it due expensive and went to FastNED a couple km further on the A28



	
					 "
bmw1158,Chargers at Shell petrol stations,"more pictures of Rapid and Fast chargers at Shell Fuel Station Pesse, Netherlands



	
	




	
					 "
bmw1159,Chargers at Shell petrol stations,"Rapid and Fast chargers at Shell Fuel Station Pesse, Netherlands

They even have windmills and V-Power... 



	
					 "
bmw1160,Chargers at Shell petrol stations,"bitmanev said:
				
					?
				
			
		
		i haven't used it due expensive and went to FastNED a couple km further on the A28Click to expand...
	
Out of interest haow much was it ? And how does it compare to Fastned ? I would not be impressed if it is a single charger only at the site. (which from the photograph it seems to be).

Richard
					 "
bmw1161,Chargers at Shell petrol stations,"Any update on when the Wellington charger is being installed? It's a convenient location for the journey I do to a relatives.
					 "
bmw1162,Chargers at Shell petrol stations,"I popped into the Willington shell today. No sign of anything. Interestingly one of the new supercharger sites is not far from there.
					 "
bmw1163,Chargers at Shell petrol stations,"single charger



	
	
 



	
					 "
bmw1164,Chargers at Shell petrol stations,"just got a iOS app Smoov update stating;





	
		
		Feature - Now possible to use Smoov features at newly added fast chargers at Shell locations in the UK and Netherlands, recognisable via a Shell icon on the map.Click to expand...
	

					 "
bmw1165,Chargers at Shell petrol stations,"Hmm.
Smoov is Dutch based and seems to have precisely one charge point in the UK and surprise surprise it is in LondonShire.

Do I need to set up yet another account to see more?
At this rate I will need to start a whole new 'post it note' for all these logins and passwords I seem to need.
					 "
bmw1166,Chargers at Shell petrol stations,"Shell 'no-petrol stations'
Shell plans UK's first 'no-petrol' station as journey towards clean motoring continues

'The group is about to begin an 18-month pilot scheme to test what the forecourt of the future might look like. Service stations will be presented ambitiously as “retail destinations”, providing good quality food and coffee alongside high-speed Wi-Fi.'
					 "
bmw1167,Chargers at Shell petrol stations,"Forecourt of the future? No petrol, no patches of oil anywhere and no signs saying you can't use a phone while charging.

That's a point.....are you allowed to use your phone when using one of these Shrill charge points?
					 "
bmw1168,Chargers at Shell petrol stations,"The pricing is in and it's.......................... 49p/kWh

Shell Recharge
					 "
bmw1169,Chargers at Shell petrol stations,"Here's one on Plugshare near Croydon. Doesn't sound like it's up and running yet.
Shell Petrol Station | Warlingham, England | Electric Car Charging Station | PlugShare
					 "
bmw1170,Chargers at Shell petrol stations,"matt303 said:
				
					?
				
			
		
		The pricing is in and it's.......................... 49p/kWh

Shell RechargeClick to expand...
	
Oh dear. I would have used their chargers if they were sensible money but that’s just daft. 

I think engenie are 35p a kWh and they’ll have contactless.
					 "
bmw1171,Chargers at Shell petrol stations,"matt303 said:
				
					?
				
			
		
		The pricing is in and it's.......................... 49p/kWh

Shell RechargeClick to expand...
	
Renewable sources though. 

Makes the Tesla Superchargers look very cheap.
					 "
bmw1172,Chargers at Shell petrol stations,"So right near Polar+ and EH chargers that are a much cheaper to use?
					 "
bmw1173,Chargers at Shell petrol stations,"Either this is a commercial gimmick or these chargers will never been used at these costs.
					 "
bmw1174,Chargers at Shell petrol stations,"matt303 said:
				
					?
				
			
		
		The pricing is in and it's.......................... 49p/kWh

Shell RechargeClick to expand...
	
Ouch! At first I thought that might be reasonable as there's no connection charge, but then I worked it out.
Let's say you're charging a 24kWh leaf from near-dead, and you're putting 20kWh in (unlikely you'd do that much, but we're talking ""in theory"", for comparison's sake here...)
At Ecotricity Rapid Charger:
£3+(20kWh * £0.17/kWh)= £6.40

At Shell Recharge:
20 * £0.49 = £9.80

I think the bright side is that by the time Shell have a significant network up and running, there'll be plenty of cheaper alternatives, and there'll be enough EV drivers that voting with your wallet (or app) may have an effect on their prices...
					 "
bmw1175,Chargers at Shell petrol stations,"matt303 said:
				
					?
				
			
		
		The pricing is in and it's.......................... 49p/kWhClick to expand...
	
10 kWhs for a fiver - or 45 miles.  Approx 50mpg.  Acceptable I suppose for a transit fill to enable distance travel.  But we need one at every large Shell station. Until then it will be just another fringe network.
					 "
bmw1176,Chargers at Shell petrol stations,"Similar pricing point to Fastned in Holland for their no subscription PAYG service. Should guarantee that you will always be able to use one.
					 "
bmw1177,Chargers at Shell petrol stations,"For a tiny top up ie 7kw or less than it’s ok as the £3 connection charge on Ecotricity  makes it pricey.

The more you need the more over priced it becomes.
					 "
bmw1178,Chargers at Shell petrol stations,"srichards said:
				
					?
				
			
		
		For a tiny top up ie 7kw or less than it’s ok as the £3 connection charge on Ecotricity  makes it pricey.
.Click to expand...
	
You'll need about 2kWh to make it to the nearest EH charger from the one they are putting in near me 
					 "
bmw1179,Chargers at Shell petrol stations,"The Derby Shell garage that is planned to get a charger is on Eastbound A38, and being accessible from one side of the A38 makes it less useful, unless you happen to pass it on your way home, which I do.
It may be useful in winter if I need a few kWh.
Let's be thankful for every public charger we can get that will be available to use and not blocked by people who are charging because it's cheaper than home charging.
					 "
bmw1180,Chargers at Shell petrol stations,"If there is one at every station, I could actually see them fairly actively used. 

For example, you ask your passenger 'I've got 20kWh to make it 80 miles? Will I make it?', passenger replies 'don't worry, just drop into the shell on the edge of town and top up a couple of kWh if you look too low to get all the way home'.

As a back-up facility for those last few miles, it could be a total god-send. With people topping up for just 5 minutes at a time (say 4kWh = £2) they could have a steady stream of gone-out-of-towners chancing their arm and misjudging it just a touch.
					 "
bmw1181,Chargers at Shell petrol stations,"And Shell electricity is much better for your car than Supermarket electricity !
					 "
bmw1182,Chargers at Shell petrol stations,"What a total waste of time. One charger at each station..

""Each Shell Recharge location currently provides one charging post.""

Have they no idea that it takes 30 minutes most of the time and if it's in use or bust it's a total no for me to even pull in. Three charger at least at each location or don't bother.

Richard
					 "
bmw1183,Chargers at Shell petrol stations,"Don't forget to add in the coffee and sandwiches, and a pint of milk.
					 "
bmw1184,Chargers at Shell petrol stations,"halcyonrichard said:
				
					?
				
			
		
		What a total waste of time. One charger at each station..

""Each Shell Recharge location currently provides one charging post.""

Have they no idea that it takes 30 minutes most of the time and if it's in use or bust it's a total no for me to even pull in. Three charger at least at each location or don't bother.

RichardClick to expand...
	
I imagine with the proposed pricing they are planning on much shortly 'top up' stops or a few minutes.
					 "
bmw1185,Chargers at Shell petrol stations,"If this gets rolled out to a lot more stations it could prove a game changer. That tariff would favour quick top-ups rather than a full charge session.  That would be ideal to cover trips where a tricky distance between planned Rapids is seen. A ten minute stop to load 5kWhs, and only cost £2.50, would buy you 20 miles of safety net. And for people without home charging it could remove all the fighting for scarce overnight street chargers or the need to divert a long way to an out of town Rapid. A welcome bit of news overall.
					 "
bmw1186,Chargers at Shell petrol stations,"joepublic said:
				
					?
				
			
		
		... there'll be enough EV drivers that voting with your wallet (or app) may have an effect on their prices...Click to expand...
	
That's never worked with Shell petrol or diesel, so why should electricity be any different?
					 "
bmw1187,Chargers at Shell petrol stations,"Alright for a splash and dash top-up or a 'get me home' charge. I guess that is the market the are aiming for, a 10 minute top-up, a coffee and a sandwich from the shop. Should help avoid too many queues and allow those who really need it to get access without a long wait.

For those without home charging, I would predict that we will have a separate network of rapid charging hubs with a more suitable long charge tariff (say £2 connection and 25p/kWh).

Contactless payment (along with the other methods) is a must of course.
					 "
bmw1188,Chargers at Shell petrol stations,"Oh dear...

""How do I pay for Shell Recharge? Do I have to be a member?
Shell Recharge operates on a pay-as-you-go basis, with no subscriptions. To pay for Shell Recharge, you need to download the Smoov app (operated by Allego) where you can securely register your debit or credit card details.""

Shell Recharge

Obviously listening to the wrong people and not providing the sensible options of payment that most drivers want.
					 "
bmw1189,Chargers at Shell petrol stations,"TVEV said:
				
					?
				
			
		
		Oh dear...

""How do I pay for Shell Recharge? Do I have to be a member?
Shell Recharge operates on a pay-as-you-go basis, with no subscriptions. To pay for Shell Recharge, you need to download the Smoov app (operated by Allego) where you can securely register your debit or credit card details.""

Shell Recharge

Obviously listening to the wrong people and not providing the sensible options of payment that most drivers want.Click to expand...
	
They probably didn't think it was worth the cost to install a contactless PDQ based on the number of charging sessions per day.
					 "
bmw1190,Chargers at Shell petrol stations,"cah197 said:
				
					?
				
			
		
		They probably didn't think it was worth the cost to install a contactless PDQ based on the number of charging sessions per day.Click to expand...
	
I think it's probably more of a case of not knowing the technology they are getting into, so handing it over to allego to deal with. The whole exercise is a token gesture, dipping their feet into the water really. Basically, they're installing some new vending machines at their sites, rather than an addition to their fossil fuel sales. 

Surely the 'wiring' into what they already have with the fuel pumps and the pay-at-shop/PDQ stuff isn't that difficult?
					 "
bmw1191,Chargers at Shell petrol stations,"TVEV said:
				
					?
				
			
		
		I think it's probably more of a case of not knowing the technology they are getting into, so handing it over to allego to deal with. The whole exercise is a token gesture, dipping their feet into the water really. Basically, they're installing some new vending machines at their sites, rather than an addition to their fossil fuel sales.

Surely the 'wiring' into what they already have with the fuel pumps and the pay-at-shop/PDQ stuff isn't that difficult?Click to expand...
	
Yeah, you would have thought they'd want a reason for you to visit the shop, as this is where they make their profit most of the time.
					 "
bmw1192,Chargers at Shell petrol stations,"andrew*debbie said:
				
					?
				
			
		
		20% to 85% on a LEAF 30 is about 16.5kWh.

£8.08 on Shell
5.80 on EH.

Well then...Click to expand...
	
9kWh top-up...

Shell - £4.41
EcoT - £4.53

Horses for courses. Not too bad for a quick splash and dash.

TVEV = £4.25 ( £2 conn + 25p/kWh). Contactless/app/RFID. Pick me, pick me. 
					 "
bmw1193,Chargers at Shell petrol stations,"2kwh top up once a month

49p shell
£1.60 ecotricity 
£4.39 chargemaster
					 "
bmw1194,Chargers at Shell petrol stations,"actEVist said:
				
					?
				
			
		
		2kwh top up once a month

49p shell
£1.60 ecotricity
£4.39 chargemasterClick to expand...
	
That's nonsense.
					 "
bmw1195,Chargers at Shell petrol stations,"The easiest way to dismiss the truth.
					 "
bmw1196,Chargers at Shell petrol stations,"actEVist said:
				
					?
				
			
		
		2kwh top up once a month

49p shell
£1.60 ecotricity
£4.39 chargemasterClick to expand...
	
Ecotricity if you aren't a user of their electricity would be £3.34 . If you are just paying per kWh then it would be 34p. 

Shell would be 98p. I doubt if they are going to round down if you decide to do 1.9kWh!
					 "
bmw1197,Chargers at Shell petrol stations,"bryand said:
				
					?
				
			
		
		That's never worked with Shell petrol or diesel, so why should electricity be any different?Click to expand...
	
Far less margins on petrol and diesel due to tax. They make far more money on the goods you buy in their shops.
					 "
bmw1198,Chargers at Shell petrol stations,"Looks like the Tesla Super Charger network will be king for a few years yet. High reliability, fast repair times, arranged in hubs and cost 20p/kWh. The other 40 providers or now 41 really are a very poor second rate offering. My REX goes back in one year and I really hoped I would be going pure BEV with my next car. At the moment it looks like I will very reluctantly be going for an ICE as a stop gap or Tesla if they get the Model 3 here that quick. Sad for EV's really. I think it will be at least five years until we get the charging infrastructure up to the Tesla standard.

Richard
					 "
bmw1199,Chargers at Shell petrol stations,"actEVist said:
				
					?
				
			
		
		2kwh top up once a month

49p shell
£1.60 ecotricity
£4.39 chargemasterClick to expand...
	
You'll use that up driving back to your house.
					 "
bmw1200,Chargers at Shell petrol stations,"£7.85 +9p +9p=£8.03 

Plus vat is £9.64

Devided by 2 = £4. 82 per kwh. 

Chargemaster doesn't break even until you have used 10kwh.
					 "
bmw1201,Chargers at Shell petrol stations,"Tesla are putting a new hub somewhere near Willington next year. Suggests location Shell have chosen must be a good one.  Shell station is off the Toyota roundabout so you can get at it from both sides of the A50.
					 "
bmw1202,Chargers at Shell petrol stations,"cah197 said:
				
					?
				
			
		
		You'll use that up driving back to your house.Click to expand...
	
Regularly that's all I need. It's then 5p at home.
					 "
bmw1203,Chargers at Shell petrol stations,"srichards said:
				
					?
				
			
		
		Tesla are putting a new hub somewhere near Willington next year. Suggests location Shell have chosen must be a good one.  Shell station is off the Toyota roundabout so you can get at it from both sides of the A50.Click to expand...
	
I really do not understand why it will only be a single charger. For me it will only be used as a last resort if all else fails. Milton Keynes are putting a 10 charger hub on the M1. Looks like it's more PR greenwash from Shell than a serious attempt to encourage EV's.

Richard
					 "
bmw1204,Chargers at Shell petrol stations,"halcyonrichard said:
				
					?
				
			
		
		I really do not understand why it will only be a single charger. For me it will only be used as a last resort if all else fails. Milton Keynes are putting a 10 charger hub on the M1. Looks like it's more PR greenwash from Shell than a serious attempt to encourage EV's.

RichardClick to expand...
	
All the Polar Ultrachargers are triple headed single charger installations.
					 "
