rid,rTitle,rText
car_18,X1 performs as review suggest,"The powertrain is what I like best about this vehicle.  Strong acceleration with minimal turgo lag, especially at highway speeds.  When you need to get power for passing or highway merging the throttle obliges.   The 8 speed transmission operates in background without feeling shifts, really nice.  I acquired the X1 wanting a vehicle for commuting to work with the versatility to handle a run to Loews or a weekend trip for two without having a big SUV since I am mostly driving by myself the majority of the time.  Looked at X3 but the trade off of the extra space versus fuel economy pushed me to the X1.  At this point, I am happy with the decision to get the 2013 CPO X1.  The lone exception to my positive experience is that the sound deadening for the 2013-2015 X1 is less than adequate.  On highways that have grooves or are choppy, the mobile microphone via bluetooth picks up enough road noise to be a nuisance for the person you call.  It's especially challenging if you are on a conference call with others (this happens for me quite a bit).  That said, I look forward to driving the X1 every time I step out the front door.  It has plenty of power, the drive is nearly car-like, and the mineral gray with coral red leather interior and Sport line looks sweet and garners compliments Some items to consider:The Sport seats are WAY more comfortable than the stock seats.  After driving X1's with Sport seats, I only looked at the Sport line.  Drove the price up $1500 or so but I reasoned the seats are part of every drive so I would make up the difference over time of ownership.The genius app very helpful in learning iDrive functions.  My experience thus far is that the voice command functions don't work as well as I would prefer.  Could be that I am not as up to speed on the voice commands as I need to be but what I've tried didn't work as desired.Storage in front of vehicle not very plentiful but I knew that going in.  Storage with seats down in back is quite plentiful.  Nav works well with the exception of voice commands as already mentioned.After a few months, still feel the same about the X1.  Only thing that has gone wrong is the Confort Touch feature for keyless entry/locking.  Dealer has not solved it yet.  Will return to dealer next week for a second try.And to reiterate, the power train in this vehicle is fantastic.One year later (May 2017)Maintainence only an oil change and routine serviceNothing has broken or been an issueLearning to live with the road noise.  I do wonder if newer model is quieter but have not driven it.Still happy with my purchase one year later."
car_19,X1,X1
car_20,A great all-around package.,"Driven my 2013 xDrive28 for 25000miles - and have no regrets. Really a surprisingly good wagon - the 8spd transmission and strong/efficient 4cyl. is impressive. Wish I had paddle shifters on mine, as I use the manual shifting option quite often and would prefer to use paddle shifters. Ergonomics are superb, electronics are for the most part all useful, iDrive system fairly intuitive, NAV system effective, though a bit frustrating to enter addresses/destinations using voice commands. Couldn't find a better package for the price two years ago when I bought it, and still can't find anything that on the whole offers fewer compromises. Yes it is small, but I'm 5'10"", and personally find the back seats quite comfortable, with plenty of headroom and legroom. If you are worried about the space back there (as I was), I would say don't rule it out, sit in it and see for yourself. My third BMW, and this one is by far the most reliable. Great car - highly recommended."
car_21,X1 perfect and fun,"A small SUV with decent ground clearance in the 2WD version, it is perfect for two people and a pet to take on forest service roads to remote fly fishing spots, will hold bikes with the front tires mounted, accelerates briskly, gets good gas mileage, handles very well, and cruises effortlessly. At 50,000 miles we have had zero problems. At 60,000 miles still no repairs required."
car_22,Great for Everyday commute in the city,I've been looking for an all wheel drive hatchback car for my daily commute.  Since I live in the midwest region I have always experienced that AWD cars are perfect.I am also into Cycling so I needed a car not to high so I can easily mount by Bicylces on the roof.  I bought my X1 Certified Used at a local BMW dealership.  I was so impressed with the performance of the car while test driving it on the roads both at High and Low speed driving.  I've driven Domestic and Japanese models before but this car has surpassed the comfort and power and now I truly understand why they call it the ultimate driving machine. The warranty also is much better than buying brand new Domestic brands since it came with a 100K Warranty being Certified used.I've been driving my X1 for 6 months now and so far everything is perfect.
car_23,Great fun to drive,"I have a 2013 X1 x28iOverall its a lot of fun to drive both acceleration and handling.It is not really a SUV so if you are expecting a lot of space in the back, you have to put the seats down (which is a bit of a hassle)It has room for 4 passengers (can do 5 in a pinch) but can't do luggage for 4 I have had good gas mileage (high 20's) and good reliabilityThere are some design features that are engineered not designed (cup holder is added on) but overall a good carUpdate - I traded my X1 in and my wife now has one (long story - I now have a 328XD and Maureen traded an older X3 for the X1)I would reaffirm my statement that the car is not really a SUV if you want to bring a lot of stuff around, but it is certainly a great car to drive.  It has been very reliable for both of us."
car_24,2013 X1,"Overall, the car is a realy joy to drive, but we've had some major mechanical issues.Less than 15,000, and we've already had it in the shop twice for cylinder replacemets, once for failure of the catalytic converter, and now for a transmission failure.All within 6 months.We'll see how the BMW dealer chooses to help rectify, but so far not happy with the build quality."
car_25,Wow! This is Fun!,"I've had my 28iXdrive for 14 months. This is my daily driver and outside 24/7.It's a small car, but good for me and my 22 mile daily commute in Chicago Winters. Mine had the heated seats and steering wheel, a must have for cold weather. The steering is so tight and precise. The acceleration of this twin turbo, blows me away, and it just keeps on going.Excellent handling car, firm suspension. I haven't had any problems at all. Mine retailed over $38k"
car_26,BMW X1,"Have had our 2013 X1 since middle of May 2013. In less than 800 miles brakes failed.Again, the same problem at 1900 miles. Seems short on power and acceleration. Not very pleased and hope to trade up very soon to an X3.Would not recommend this vehicle base on my experience."
car_27,The X1 is fantastic,"The X1 is a very solid, high performing compact SUV (or SAV as BMW calls it).The performance, corning and high quality interior are all amazing.The car has lots of power.I only have 3000 miles on the car so far but it handles very well and enjoy the many technology features on car including the numerous I drive features."
car_28,Better than expected!!!,"I got mine last September and it has been a blast ever since, 15K miles already.I've picked a Valencia Orange with M Sport Package, heated seats and Harman Kardon sound system, nothing else and the only option I miss is power seats.This thing drives exceptionally well and the hydraulic assist steering is still the best.The manner in which this vehicle goes from 60 MPH to 80, 90 or more is almost ridiculous.Serious handling and solid structure feel make it evenbetter.Of note this is my 5th BMW in the last 10 years and so I expect great things from BMW's and in this case they delivered a great little product.If you can get one and enjoy the ride, you won't be disappointed..."
car_29,Rocket ship!,"How fun! Shifting into sport mode makes this car fun. Lots of compliments. Has a surprisingly nice growl in the cabin when accelerating. Love the panoramic roof and leather interior. I got mine used....bmw owners generally maintain their cars above average so if you can find a low mileage model just out of warranty, snatch it up and you won't regret it."
car_30,Red Beauty with butter soft handling,Not enough cup holders
car_31,Great SUV!,"I have the M Package and it's worth every penny,  is gorgeous and handling is superb. Acceleration is go and no breaks down. Gass is normal for a 6 in line. I have owned for 2 1/2 year,  buy it used with 119k and now after 10k, I have to say it's still running like new,  my wife love it and it drives like a sport car,  it turns very good and breaks/stop almost as my M3. Very safe on the rain or snow due to its awd."
car_32,Great Crossover SUV IF you can afford it,"I bought my 2007 BMW X3 3.0si with about 70,000 miles in January 2012.  I was 28 years old at the time and excited about my purchase.  It was a CPO and had a 6 month warranty with it.  I drive about 30,000 miles annually and at almost 185,000 miles 4 years later I am left to ponder whether it was a good buy or not or whether I would do it again.  The car I bought had a new sticker price of something close to $44,000, so considering that the first 5 years / 70k miles absorbed about $26,000 of that made me feel good about the purchase.  It was KBB's book price for a private party sale in Good or Very Good condition.  Now that I've put 115,000 miles on it I look back at the service and maintenance history and just as I was starting to get impressed by how little went wrong in 115,000 miles but then I hit about 182k and it needed a starter, then tires, then transmission.  Needless to say it's been a bad month or so in the repair dept.  Here's a list of what I've needed to have done from 70 - 185k miles at the approximate mileage:Every 10k - new oil and filter.Every 20k - new air filter, clean MAF sensor.80k - Water pump at approx.90k - tires125k - Coolant expansion tank was cracked and replaced135k - tires150k -  windshield washer pumps150k - brake pads and rotors.155k - ignition coils and spark plugs165k - fuel filter170k - changed brake fluid, bled brakes, new anti-squeal on pads182k - tires182k - starter182k - transmission fluid & filter, differential & transfer case fluid (transmission started slipping, don't believe BMW lifetime fluids get them changed every 30-50k depending on driving conditions and climate).185k - transmission (bought used with 99k miles for $1480 - a tad under $2700 after mechanic and shop fees)"
car_33,I absolutely love my BMW!,"So being the spoiled 16 year old that I am, my parents surprised me with this car before my birthday in December of last year. I absolutely love my car. When we bought it however, the radiator was busted and it was making some kind of ticking noise. We got that fixed. We kept the car in service and I haven't wrecked or anything. The car's rear tires were worn down when we bought the car so we replaced them. We didn't know at the time that when you buy an expensive car the the front and rear tires were two different sizes. So it messed the transfer case up. When they replaced that, the towing company bent my steering rack which is now throwing off some lights and one of my O2 sensors needs to be replaced. My local BMW dealership told me that once you replace one O2 sensor that you will have to replace the others, which I found out is a lie. But I also had my oil pan replaced, (it had an oil leak when we bought it), and I wouldn't recommend taking it to a place that ""specializes"" only on foreign made cars. They charged us $2,000 to fix it. One of the parts only costed $35 and the labor was $800. Other than what all has happened, the car is an outstanding car, I honestly don't want to get rid of it. I have 4 siblings. One is a baby and the car is able to fit his car seat in it just fine! The interior is amazing to clean. Mine is white with tan interior and it is easy to spill things on it. But it is also easy to clean. I absolutely love my car and I would recommend it to anyone."
car_34,Wonderful SAV - Still in Love!,"I have had this wonderful vehicle for a few years. We bought it used with an aftermarket warranty to replace a MB C350. I am looking forward to getting in and driving it every day, even after a few years of ownership. In fact, I just realized HOW MUCH I love this car, after having to drive a truly horrible rental because my ""baby"" is in the body shop for some cosmetic repairs. The handling and power is phenomenal for a small SUV. I love the very firm suspension and the BMW sports seats are hands-down the best, most supportive seats in any vehicle I have ever driven. In fact the X3 inspired us to buy an 08 328i with very similar packages so we can seamlessly switch between a sedan an SUV.Updating this review a few years later, just to confirm what a great vehicle this is. Even at ten years old this SAV still has the power and performance to keep up with and out do many newer SUVs. Last year I drove my father-in-laws new Jeep Grand Cherokee for a day or two and found it a sluggish, lumbering beast compared to my X3. I keep on top of maintenance and use a BMW specialized independent shop. As a result, I do not feel that cost of ownership is any higher than for other (""lesser"") vehicles of this age. The naturally aspirated inline six engine is one of the most durable engines BMW has ever built!"
car_35,DO NOT BUY BMW X3 READ THIS!,"We own a 2007 x3 and has been to the shop 7 times on top of the schedule maintenances.We were stranded on a major Hwy IH35- and had SUV towed twice for engine overheating, waterpump replaced, thermostat on another trip, brake pads at 33k miles, engine leaking at 55k miles (paid $600 to replace engine gaskets) , Engine coils replaced, computer reprogrammed for idle problems,door and roof seals letting air in (got very noisy) Buy one and you'll see what I'm talking about.The dealer and BMW will tell you this is NORMAL FOR A BMW!! or just go by their shop before you buy and it will be full of cars being serviced, I guarantee it!!"
car_36,Great Car...So Fun To Drive!,"Purchased my Platinum Bronze Metallic X3 certified pre-owned in 2010. I've owned many cars, and exclusively SUV's (2 Grand Cherokees and a Toyota Highlander) since the early 90's and this is by far the best handling, best performing car I've ever owned. It accelerates like a dream. If you're buying one CPO, purchase the extended maintenance warranty. I've had several repairs after the ""service soon"" light came on, and they were all covered under the warranty. All around a great car, loaded with luxury features, and and exhilarating driving experience!"
car_37,"I love it but, it doesn't love me?!","We bought my X3 two years ago, at a great price and with 38,000 miles on it. It is my first suv and not my last. I love this car... it's fast, great looking and a great size (i'm 5'3) Only problem, it has been in the shop more then 8 times... thank goodness we got the extended warranty! New water pump, muffler, engine pistons and other misc items! If I didn't have the warranty and a loaner from my dealership I don't know what I would do. After almost 2 and a half years later, I am looking into a new suv (and not another bmw)"
car_38,BMW engineers are not very clever,"I have a 2007 X3. Keeps getting Service Engine light every 2000 miles. I bought it as certified pre owned in 2007 May. So far I have been to service for about 15 times (This is real number, not exaggeration). Dealer keeps saying they don't know what's wrong, they just do whatever BMW engineers tells them to do and looks like BMW engineers haven't been able to figure out what's wrog so far. Every time they find a new excuse on what's wrong. If they can't even find the reason behind such a small issue, one wonders about the accuracy of their claims towards their ""intelligent"" safety features - its probably just a claim."
car_39,certifed used X3 in 2009,"I bought my X3 of a 3 year lease - dealer gave a certifed warranty until 50k miles. Mine has a the 6 speed manual trans w/3 litre engine many options (moonroof and MP3,etc)It drives great, but the orig sticker was about 45,000 and I paid much less.Maintenance on this car is exppensive - to replace one tire was $280 and BMW recommends only oil changes after 15,000 miles - much too long. It's a fun car to drive, habdles great and has some storage, but I do need lots of seats."
car_40,BMW X3 is a driving experience,Purchased X3 CPO. Looks brand new. It has lots of pep but I wouldn't mind about 20 more HP. The ride is smooth. I have to laugh at anyone that says this is a rough ride...they have obviously never driven a jeep or a truck. The seats (front and back) are comfy. Acceleration is smooth. Sound system is amazing. The front and rear collision detection is handy. The nav is pretty good. In fact the vehicle is almost flawless. The ONLY flaw that I dont like is about this suv is that the leg room for drivers right leg is reduced by a hump in the interior wall by the gas peddle.And it could use more storage. I have no where to put my sunglasses.
car_41,Do not buy a BMW x3,"We have taken the x3 to the shop about 7 times for engine overheating problems / computer problems/ do not buy BMW x3 will bring you problems. Contacted BMW headquarters and they do not help. They don't care about the customer and if you run out of warranty you will have to pay $3,000 for an extended warranty or trade in the SUV. Not reliable/ my kids don't want to take trips/ left us stranded on I-35. BMW does not care!"
car_42,Not a huge fan,"My first BMW; so excited to get it and compared it to all mini-SUV models.  Have had it six months and trading it; hubby and I loved to drive it; hate to ride in it.  6 year old gets car sick the ride is so rough.  I loved the idea of a BMW, but have found perhaps I am not such a fan of German engineering after all.  I wish it would have worked out.  Plenty of power, we simply cannot handle the rough ride."
car_43,No COMPASS when hot,"In temps of 100, when you get in car, compass will not work. After car cools down, about 20 min, compass works fine. Taken for repair twice, & they say not showing up on computer, so they can't find problem, but I can, when temp is around 100. Our warranty runs out next month with 17,000 miles."
car_44,This car is a 4 wheel nightmare,"Do yourself a favor and steer clear of this absolute wreck of an automobile. The automatic transmission is a mess. My car has 60,000 mikes and has had the transfer case replaced, the rear and front differential, exhaust system and more. It spends at least a week in the shop every 3-4 months. BMW of NA is completely non- responsive as is the dealer. Without exception the worse car I have ever owned. This is my rid and last BMW. Do yourself a favor and get and Audi."
car_45,Love my x3,Purchased used w/ BMW's Certified warranty wasn't even looking at this model but it came up in the dollar amount I was searching for. I'm really glad I purchased this vehicle for the price it a lot of car. I have not had any problems with transmission it works just fine. I believe it not the trans. but the drivers it's electronic and you can confuse it by your driving style. It's also adaptive which means it learns your driving style and if more then one person drives vehicle and they have different driving styles then you might think your having problems. This vehicle pulls good on the highway but could use another 40 HP.
car_46,Solid purchase,Bought a CPO with premium and sport package in May. Have driven approximately 5200 miles since without real complaint. The Nevada leather seats are great and I love the huge moonroof. I commute ~50 miles/day mostly highway and enjoy every bit of my drive. Handles like a dream. Gas mileage has been fair averaging ~22.5 mpg (65/35 highway). Did have to take in for a solenoid issue but service experience was excellent. Haven't had any transmission issues reported in other posts.
car_47,Big Mistake,"The X3 with premium and sport package looks good in a parking lot or a garage. Ride is hard. Back seat is hard. Nothing happens smoothly or refined. Choppy ride, confused transmission, not enough cup holders or console storage. It's just not worth $44k. It's in the shop, again, for warranty repairs. They tried to tell me it was ready to pick up a few days ago. Hadn't fixed either of the 2 main things it was there for. (Crazy wipers and rattling tailpipe) Still in the shop with no updates. The loaner is wonderful, 2011 328i sedan. It does everything better than the X3. It's like they learned how to build a vehicle, but don't want to do anything with a warranty repair of their past mistakes."
car_48,"Fun, Exciting But Has Some Bugs","Purchase experience was very pleasant.  BMW service is very good.  My 2007 X3 was Certified Pre- Owned and had only 24K miles.  I purchased the Extended Full Warranty which was nearly the cost of a full brake job ($1800) at 60k so I considered it money well spent.  I have had 2 significant issues with the X3 so far.  First, one of the two engine coolant pumps malfunctioned and the vehicle wont let you drive over 20mph for fear of overheating and damage.  It happened at 29K miles.  Had to use BMW assist to get towed to dealer (took two hours for tow to arrive).  Second, had major transmission fluid leak due to bad gasket at 30k miles.  Fun car but has been in the shop too many times."
car_49,Fun and practical,"I purchased this X3 with manual transmission as new in 2007, and have enjoyed driving it ever since. I love its steering and ride, better than the 2010 GLK 4matic that wife owns. And to my taste it strikes a good balance between power and fuel efficiency. Nimble yet offers plenty of space for a small family and large cargo room with second row folded down. The leatherette interior is care free. No problems so far except for a burned out brake light. 4x4 warning light came up once, and went away by itself. Dealer cannot tell what's going on..."
car_50,fun and power,"I leased this 2007 X3 for 3 years without a single mechanical or electronic issue. At around 25,000 miles I had to replace the 4 tires because they were worn out. otherwise no issues. we loved it so much that we bought an 09 X3 at the end of the lease. It's been 6 months since the 09 X3 and no issues at all."
car_51,It's Great Driving a BMW,"Purchased this CPO 2007 model to move my wife out of mini vans.  She instantly appreciated the sensation of driving a BMW.  Acceleration is smooth and powerful and handling is exceptional.  The cabin fits her well and gives her a great view of the road.  The automatic transmission does take some getting used to; it shifts a little differently than most. We've had some some issues (for example, had to get the cylinder head replaced) but all were covered under warranty and included a 3 Series loaner car.  Going the CPO route saves a lot of money while still getting great warranty.  This is an excellent vehicle and a blast to drive."
car_52,Much better ride over 330i,"Seventh BMW I have owned. I tried to take trips in my former BMW330i, however always felt like I was beat up. Now the good stuff, the X3 has just returned from our first 1,200 mile trip, comfort, power over mountains, 10% ethanol fuel in 3 states didn't produce a change in power but did drop fuel economy by one or so miles per gallon, average at 80mph and up to 90mph at times it creeps up there with ease, just under 21 mpg.  I think this is a long term relationship, easier to get into and out of, the giant moon roof, Xdrive must be felt to appreciate the grip that is there.  Screaming RED color tipped to this vehicle over another. Certified and 6yr~100,000m service and oil changes."
car_53,Best Buy EVER,"What you've heard is true. Once you drive a BMW, you will be hooked for life. I love driving the X3, so does my husband. His Acura MDX now gets very little action. He prefers the X3. Lots of power. Handles beautifully on Seattle's wet roads and in heavy traffic. Nice size to parallel park downtown."
car_54,Sports Car not SUV,"I just bought the X3 with Sports Package with 34K miles as a certified used car. The car is under warranty and still smells and looks like new but I paid 15K less than buying a new X3.  The X3 drives and handles like a sports car.  The 260HP engine is perfect. I drove Lexus RX, Acura RDX, Mercedes GLK and they do not come close to the X3 handling."
car_55,A Sports Car In SUV Clothing,"Got mine three years ago - Sports pkg, premium pkg, winter pkg. Sapphire black metallic with black interior, 18"" all- weather tires (didn't want to have to swap summer tires every winter). Handles like a sports sedan, cargo area more than a wagon, great road visibility, excellent build quality. The sports pkg can be a rough ride, but I like it. Probably not the best family vehicle, because it feels more like a sports car. No mechanical issues, but I notice BMW has a software update regarding its AT problem that some people have experienced - I prefer driving in manual mode, to me it's the best of both worlds. Tons of fun with superb handling!"
car_56,Sport Activity Vehicle defined,"Now with the odometer rolling past the 50,000 mark, my compliments to the chef. I hate numb steering, overweight and too-big SUV's. This SUV really is a 3-series with a lot of road clearance and a big boost to the rear storage space.  It does suffer from a higher center of gravity over the lower riding 3-series but that can be offset with a Sport Pkg option that helps to reduce the suspension give and body roll. Also, the sport seats are the best with what may be the best in the industry.  In a nutshell, the X3 is clearly the most fun to drive in this segment.  It is almost 1,000lbs less in weight than its X5 brethren and only 4 cu ft less in cargo--the 3.0 is the perfect small SUV."
car_57,Good car!,"It's really a good car and all of a driving experience. I work home-office so do not use the car a lot - only 7,500 miles per year average, however, it is quite enjoyable to drive it every time I go the airport and go to pick up the kids at school."
car_58,Solid Fun to Drive Small SUV,"Fun to drive, great handling (for a SUV) with the 19"" and sport package, a little rough riding at times though. Comfortable and decent fuel economy (premium fuel uhh). No issues to date, Nice sound system, nav is just ok, but the bluetooth rocks. An overlooked small SUV that competes very well all around, careful price jumps with options! Good Value if you buy 1 year old."
car_59,Superb car,I purchased this with the sports package and absolutely love it! The x3 has superb performance and handling.
car_60,One great car....,"The BMW X3 is a perfect car for a person who likes performance, styling and great handling.  Mine has the sports package and M styling and looks terrific.  I had driven BMW 5 Series cars for 20 years, but needed occasional storage capacity to carry a drum set.  I also have an X5 which is beautiful but it doesn't come anywhere near the X3 for performance and handling.  The fit and finish is top notch with great features like the full length sunroof.  I also enjoy the sitting position which is higher than a sedan but not so high that you sway with every bump like you do in most trucks and SUVs. One great car...."
car_61,Awesome Ride!!,This car has gone above and beyond what I expected. Was also looking at the Lexus and Mercedes and their drive compared to the BMW was night and day. If you're looking for a fun car that is the best performing car in its class the BMW X3 is the only logical choice.
car_62,Should have got the X3 in the 1st place,"I bought a 2008 CR-V and simply was not happy with it.  It is wonderfully versatile but it had no power, was noisy, had a rough ride at times and the seats were very uncomfortable.  After 3 months I traded the Honda for a CPO X3 and I couldn't be happier.  With the X3 I really have to watch my speed.  The engine is silky smooth, its quiet, and feels solid as a rock.  It may not be as roomy as the CR-V but I can definitely trade that for the joy of driving.  If you are considering a small SUV think if you are buying it for yourself or for others.  If you care about passenger comfort and versatility then the CR-V is a great choice.  But if you want to have a smile on your face get an X3."
car_63,Very nice ride,"Just purchased my 2007 X3 with 24100 miles on it a little over a week ago.  This is the best handling SUV I have driven.  Lots of power from the 3.0L straight 6.  Very comfortable seats.  Stereo sound quality is excellent.  Much better than my '04 330ci convertible.  I tried the sport package on another X3 and the ride was too rough for my taste.  The aesthetic updates for '07 look great.  Bluetooth is not always clear, but works okay.  Also, the throttle tip-in is a little touchy and takes some getting used to at low speed.  I was looking for a small SUV that was fun to drive, this fits the bill nicely.  The Japanese companies can't compete with German build quality, ride and handling"
car_64,A Bit Disappointed,"I guess I expected more from my first BMW.   My wife hated the way it drove around town, so now it's mine.  The transmission is definitely a design flaw and there should be a recall.  On the highway it rides like a dream.  It's like riding on a rail and it takes discipline to stay below 100 mph.  I had a lifter noise and after several visits to service, they had to replace the cylinder head.  That was another nightmare.  The dealer and BMW should have made a better effort to compensate for my inconvenience."
car_65,Happy So Far,"Second BMW (first being M3).  Purchased pre-owned.  Love almost everything about it.  Has just about every possible option and package.  Love the 19"" wheels.  Did have to adjust driving some to accommodate for brake assist and trans system.  Once I have done that, it is fine and very enjoyable to drive.  Do not have problems others have mentioned.  Just took a judicious right foot.  Very comfy sport seats and great thick M-sport steering wheel.  Now that we have a baby, it is perfect.  Not my M3, but a good compromise for the time being."
car_66,Review Update > Happy Owner,"I have been a BMW and Saab owner for the past 20 years, I have to say that after driving the X3 for the past year and a bit I am still very happy that I have it!  I enjoy driving and I travel a lot, I go where it snows and where it's hot year round, I have found that this SAV performs well in most situations and is fun to drive.  I have had very few problems and they were all minor ones.  The auto transmission that I have operates differently in sport mode providing the burst of torque when you need it but I did not have issues with the transmission as noted by other reviewers.  I have also noted that as more miles were driven the fuel economy has gone up close to the stated 26 MPG HWY."
car_67,"Bugs gone, now its a blast!","Bought this vehicle used as I could not afford new.  Unfortunately previous owner never serviced vehicle.  Had to take into local BMW dealer 4x before we got the throttle response issue cleared.  Car hesitated and bucked, was scared to be in traffic when I needed quick acceleration.  But the warranty is awesome, treated like a queen at dealership given loaner each time, who still does that?  No other automaker I know of.  Computer need to be defragged and re-booted so we could start fresh.  It worked, my little baby is performing fantastic and I love driving it, it truly is a driving experience like the ads say!"
car_68,Disappointed,"This is my second x3, the 1st a 2004 so I expected a better BMW but what I got was what others are complaining about: poor shifting patterns at speeds under 40 mph. Has been in the shop for software fixes but no improvements and the techs tell me they don't notice the problem. The sport drive is horrible and this is called a ""sport utility vehicle"". This is not what I expected from BMW."
car_69,Transmission Nightmare - Recall needed,"Driving along a back country road and slump. The transmission felt like it dropped out the bottom. It left me stranded since when I turned it back on it refused to recognize reverse, drive, any gear whatsoever. Since then I have had a ""software update"" and it is still extremely sluggish in first gear and before I know it I am in third at a snail pace. Highway driving is excellent but in traffic a nightmare, and unreliable shifting. I was told this is a worldwide problem by my dealer regarding X3 transmissions and although this is happening to several X3's it is not large enough to recall. There needs to be a recall. Lurching and shifting so hard that it bucks is not acceptable for a BMW."
car_70,young man... love it,"Although this is typically a car for women, I'm a 30 year old man, and I love this car.  I needed to purchase an SUV and love how the X3 drives like a sedan, but is great in the snow and on wet surfaces.  I enjoy the tight steering and quickness.  It's much more agile than any SUV I've ever driven."
